word,count_hi,count_lo,log_odds
front,235,54,-0.4750060917432739
drinking,72,16,-0.47425861444423845
quick,833,193,-0.47312946824099456
that's,399,92,-0.4726396575816869
hours,628,145,-0.4709800765443095
review,236,54,-0.470777755633752
right,844,195,-0.47028274340975695
son,94,21,-0.46867027329418853
says,211,48,-0.4667387349750278
enjoying,77,17,-0.46516764274298694
though,493,113,-0.46516764274298605
thing,389,89,-0.46516764274298517
servers,169,38,-0.45926792061579746
raw,108,24,-0.4590326541754699
part,143,32,-0.4581989734268923
caramel,130,29,-0.45750476999741707
maybe,200,45,-0.4568411999664317
eat,1835,418,-0.45403106027811546
mocha,113,25,-0.45340280116339926
since,359,81,-0.45211992735051076
let's,109,24,-0.44990017061219767
smile,109,24,-0.44990017061219767
felt,87,19,-0.44990017061219767
otherwise,96,21,-0.4478361863913456
dipping,74,16,-0.4472299420563193
clean,1031,232,-0.44328921906060526
however,155,34,-0.4369967657762901
nicest,66,14,-0.434862293247658
mustard,66,14,-0.434862293247658
credit,200,44,-0.43486229324765713
weeks,93,20,-0.432732366989832
closes,102,22,-0.43226993923592616
stars,353,78,-0.4316556508696596
dining,355,78,-0.4260218331514034
change,211,46,-0.42506603857446024
establishment,103,22,-0.42260802832418953
year,180,39,-0.42188713438452385
strawberry,185,40,-0.4193301045275186
near,167,36,-0.4184586447773784
sour,99,21,-0.4173769789066366
deal,440,96,-0.41717081459294914
said,522,114,-0.4168553758347402
burger,1071,234,-0.41380888404982397
except,72,15,-0.413633992627803
cheap,479,104,-0.4116789577919997
extra,535,116,-0.40954448526336673
lot,549,119,-0.40907817609194286
two,797,173,-0.4084514133011332
polite,100,21,-0.4074266480534696
crowd,100,21,-0.4074266480534696
smell,68,14,-0.40544840804136406
currently,68,14,-0.40544840804136406
teriyaki,110,23,-0.40002834057202463
consistently,106,22,-0.39417009300365535
large,516,110,-0.39299203834031804
tomatoes,69,14,-0.3910596705892644
mini,83,17,-0.3910596705892644
careful,69,14,-0.3910596705892644
bun,116,24,-0.38820660160685705
hard,355,75,-0.38730732097071296
night,939,199,-0.3839422028203998
closing,131,27,-0.380907299125246
fry,98,20,-0.380907299125246
win,89,18,-0.3761340203725876
area,672,141,-0.37558643949294535
fix,175,36,-0.3719386291424849
none,80,16,-0.37026890092019116
might,223,46,-0.3700062613914312
haven't,219,45,-0.36651856167314634
gets,277,57,-0.36432660839219544
serving,162,33,-0.36411503534581335
stand,81,16,-0.35799880832837694
set,115,23,-0.35596835077799405
stopped,149,30,-0.354856621925304
cherry,67,13,-0.3510543359755651
american,106,21,-0.34971833043282174
started,72,14,-0.3490954714902319
yeah,155,31,-0.3473846070866031
picture,77,15,-0.3473846070866031
onion,155,31,-0.3473846070866031
see,667,136,-0.34719746382789207
door,355,72,-0.34703342183277375
taco,565,115,-0.3465008244395955
pre,82,16,-0.34587744779603113
smells,170,34,-0.34518921652316603
eating,434,88,-0.34479505017986867
feeling,87,17,-0.3445396549543709
several,92,18,-0.34334419754959633
open,1473,300,-0.34287990353600684
kitchen,240,48,-0.33852807615638447
look,329,66,-0.33710467646685327
photo,68,13,-0.3364555365544124
ever,2592,525,-0.3362351387354581
face,83,16,-0.33390125674931603
games,93,18,-0.33264890843284967
fries,1276,257,-0.3321954404254903
much,890,179,-0.33211713495581385
serve,346,69,-0.3306751736389124
pizza,3069,614,-0.32369413876168807
cause,99,19,-0.32206679910231273
needed,109,21,-0.32206679910231273
building,149,29,-0.32206679910231273
interior,84,16,-0.32206679910231273
hour,1183,235,-0.31868270111807195
grand,145,28,-0.3151939198145506
like,3111,616,-0.3133528501435183
across,186,36,-0.3113140073260512
road,90,17,-0.311016962915728
there's,384,75,-0.30899471753495966
bigger,75,14,-0.3088215723522918
time,3583,706,-0.30830060333816434
company,70,13,-0.3078821641103566
crazy,202,39,-0.3071781866085628
days,263,51,-0.30679932697152434
people,1459,286,-0.3047952125936524
till,157,30,-0.3028968829945935
cut,157,30,-0.3028968829945935
guys,290,56,-0.3012327121994707
